ID	B1	B2	B3	val
1085	206	97	116	3
1086	193	105	104	3
1087	199	120	116	3
1088	218	143	127	3
1089	237	143	162	3
1090	231	150	162	3
1091	224	143	151	3
1092	224	127	139	3
1093	231	112	139	3
1094	231	143	151	3
1095	231	135	151	3
1096	218	127	139	3
1097	206	127	127	3
1098	199	120	127	3
1099	199	112	127	3
1100	193	105	116	3
1101	193	97	116	3
1102	199	97	116	3
1103	206	82	104	3
1104	212	97	104	3
1105	224	90	104	3
1106	231	105	116	3
1107	224	112	127	3
1108	224	105	127	3
1109	224	105	127	3
1110	212	97	116	3
1111	206	97	116	3
1112	206	97	116	3
1113	206	90	104	3
1114	206	90	104	3
1115	206	90	104	3
1116	206	90	116	3
1117	206	97	116	3
1118	212	90	104	3
1119	212	105	127	3
1120	212	97	116	3
1121	206	97	116	3
1122	206	97	116	3
1123	206	90	116	3
1124	199	105	116	3
1125	193	90	104	3
1126	187	90	116	3
1127	193	97	116	3
1128	199	90	104	3
1129	206	105	116	3
1130	212	97	116	3
1131	218	120	127	3
1132	224	127	139	3
1133	224	112	139	3
1134	218	112	127	3
1135	206	97	116	3
1136	206	105	116	3
1137	212	105	116	3
1138	218	97	116	3
1139	212	120	127	3
1140	206	120	139	3
1141	193	135	139	3
1142	193	143	151	3
1143	199	143	162	3
1144	206	143	162	3
1145	212	135	151	3
1146	199	127	139	3
1147	181	112	127	3
1148	174	105	127	3
1149	168	90	116	3
1150	174	75	104	3
1151	156	90	104	3
1152	156	97	104	3
1153	162	90	116	3
1154	162	105	127	3
1155	181	105	116	3
1156	181	105	116	3
1157	181	105	116	3
1158	187	97	116	3
1159	187	112	127	3
1160	181	97	116	3
1161	162	97	116	3
1162	149	90	116	3
1163	149	75	104	3
1164	149	90	104	3
1165	143	82	104	3
1166	131	82	93	3
1167	137	90	93	3
1168	137	75	104	3
1169	137	90	104	3
1170	156	90	104	3
1171	162	90	104	3
1172	168	90	104	3
1173	174	82	104	3
1174	162	90	104	3
1175	143	82	104	3
1176	143	82	104	3
1177	143	82	104	3
1178	156	75	104	3
1179	168	90	104	3
1180	162	82	104	3
1181	168	82	104	3
1182	174	90	104	3
1183	181	90	104	3
1184	181	97	116	3
1185	199	97	116	3
1186	199	97	116	3
1187	212	97	116	3
1188	212	90	104	3
1189	212	90	104	3
1190	212	90	116	3
1191	206	90	116	3
1192	206	97	116	3
1193	199	97	116	3
1194	193	97	116	3
1195	187	97	116	3
1196	187	105	104	3
1197	193	120	116	3
1198	212	135	127	3
1199	237	135	116	3
1200	243	150	151	3
1201	231	143	151	3
1202	231	127	139	3
1203	231	120	127	3
1204	237	143	139	3
1205	243	135	162	3
1206	231	135	151	3
1207	218	127	139	3
1208	206	112	127	3
1209	199	112	127	3
1210	187	97	104	3
1211	181	97	116	3
1212	187	90	104	3
1213	193	82	104	3
1214	206	90	104	3
1215	212	82	104	3
1216	224	97	116	3
1217	231	112	127	3
1218	231	112	139	3
1219	224	105	127	3
1220	218	90	116	3
1221	206	97	116	3
1222	212	97	104	3
1223	212	90	104	3
1224	206	90	116	3
1225	193	82	104	3
1226	187	90	116	3
1227	187	90	104	3
1228	193	90	104	3
1229	199	97	116	3
1230	206	90	116	3
1231	212	105	127	3
1232	218	97	116	3
1233	212	97	116	3
1234	206	112	116	3
1235	199	97	116	3
1236	193	97	116	3
