ID	B1	B2	B3	val
776	31	97	162	1
777	31	97	162	1
778	31	97	162	1
779	31	90	162	1
780	31	105	162	1
781	31	90	151	1
782	31	97	162	1
783	31	97	162	1
784	31	90	162	1
785	31	97	162	1
786	37	90	162	1
787	31	97	162	1
788	31	97	162	1
789	31	97	162	1
790	31	105	162	1
791	37	90	162	1
792	31	105	162	1
793	31	97	162	1
794	31	97	162	1
795	31	105	162	1
796	31	90	162	1
797	31	105	162	1
798	31	97	162	1
799	31	97	162	1
800	31	97	162	1
801	31	90	162	1
802	31	105	162	1
803	31	97	151	1
804	31	97	162	1
805	31	97	162	1
806	31	90	162	1
807	31	105	162	1
808	31	90	162	1
809	31	97	162	1
810	31	97	162	1
811	31	97	162	1
812	31	105	162	1
813	31	90	151	1
814	31	97	162	1
815	31	97	162	1
816	31	97	162	1
817	31	105	162	1
818	31	90	151	1
819	31	105	162	1
820	31	97	151	1
821	31	90	162	1
822	31	97	162	1
823	31	90	151	1
824	31	97	162	1
825	31	90	151	1
826	31	97	162	1
827	31	97	162	1
828	31	90	162	1
829	31	105	162	1
830	31	90	151	1
831	31	97	162	1
832	31	97	162	1
833	31	90	162	1
834	31	105	162	1
835	31	90	162	1
836	31	97	162	1
837	31	97	162	1
838	31	90	162	1
839	31	97	162	1
840	31	90	151	1
841	31	97	162	1
842	31	90	151	1
843	31	97	162	1
844	31	105	162	1
845	31	90	162	1
846	31	105	162	1
847	31	97	151	1
848	31	97	162	1
849	31	97	162	1
850	31	90	162	1
851	31	97	162	1
852	31	90	162	1
853	31	97	162	1
854	31	97	162	1
855	31	90	162	1
856	31	97	162	1
857	31	90	162	1
858	31	97	162	1
859	31	97	162	1
860	31	90	162	1
861	31	97	162	1
862	31	90	162	1
863	31	97	162	1
864	31	97	162	1
865	31	90	162	1
866	31	97	162	1
867	31	90	151	1
868	31	97	162	1
869	31	90	162	1
870	31	90	162	1
871	31	97	162	1
872	31	90	151	1
873	31	105	162	1
874	31	97	151	1
875	31	97	162	1
876	37	97	162	1
877	37	105	162	1
878	37	105	162	1
879	37	97	162	1
880	37	105	174	1
881	37	97	162	1
882	37	105	174	1
883	37	105	162	1
884	37	97	162	1
885	37	105	162	1
886	31	97	162	1
887	31	105	174	1
888	37	97	162	1
889	37	97	162	1
890	37	105	174	1
891	37	97	162	1
892	31	105	174	1
893	31	97	162	1
894	31	97	174	1
895	31	105	174	1
896	31	97	162	1
897	31	105	174	1
898	37	97	162	1
899	31	105	174	1
900	31	105	174	1
901	31	105	162	1
902	31	105	174	1
903	31	97	162	1
904	37	105	174	1
905	37	97	162	1
906	31	97	162	1
907	31	105	162	1
908	31	90	162	1
909	31	97	174	1
910	37	105	162	1
911	31	97	162	1
912	31	105	162	1
913	31	97	162	1
914	31	105	162	1
915	31	97	162	1
916	31	97	162	1
917	31	105	174	1
918	31	97	162	1
919	31	105	162	1
920	31	97	162	1
921	31	97	162	1
922	31	97	162	1
923	31	90	162	1
924	31	105	162	1
925	31	97	162	1
926	31	97	162	1
927	31	97	162	1
928	31	90	162	1
929	31	105	162	1
930	31	90	162	1
931	31	97	162	1
932	31	97	162	1
933	31	97	162	1
934	31	105	162	1
935	31	90	151	1
936	31	97	162	1
937	31	97	162	1
938	31	97	162	1
939	31	105	162	1
940	31	90	162	1
941	31	105	162	1
942	31	97	162	1
943	31	97	162	1
944	31	105	162	1
945	31	90	162	1
946	31	105	162	1
947	31	97	162	1
948	31	97	162	1
949	31	97	162	1
950	31	90	151	1
951	31	105	162	1
952	31	90	151	1
953	31	97	162	1
954	31	97	162	1
955	31	90	162	1
956	31	105	162	1
957	31	90	162	1
958	31	97	162	1
959	31	97	151	1
960	31	97	151	1
961	31	105	162	1
962	31	90	151	1
963	31	97	162	1
964	31	97	151	1
965	31	90	162	1
966	31	97	162	1
967	31	90	151	1
968	31	97	162	1
969	31	97	151	1
970	31	97	162	1
971	31	97	162	1
972	31	90	162	1
973	31	105	162	1
974	31	97	162	1
975	31	97	162	1
976	31	97	162	1
977	31	90	162	1
978	31	105	162	1
979	31	90	151	1
980	31	97	162	1
981	31	97	151	1
982	31	97	151	1
983	31	105	162	1
984	31	90	162	1
985	31	97	162	1
986	31	97	162	1
987	31	97	162	1
988	31	97	162	1
989	31	90	162	1
990	31	105	162	1
991	31	97	162	1
992	31	97	162	1
993	31	105	162	1
994	31	90	151	1
995	31	105	162	1
996	31	97	162	1
997	31	97	162	1
998	31	97	162	1
999	31	90	151	1
1000	31	97	162	1
1001	31	90	151	1
1002	31	97	162	1
1003	31	97	162	1
1004	31	90	162	1
1005	31	97	162	1
1006	31	90	162	1
1007	31	97	162	1
1008	31	97	162	1
1009	31	90	162	1
1010	31	97	162	1
1011	31	90	162	1
1012	31	97	162	1
1013	31	97	151	1
1014	31	90	162	1
1015	31	97	162	1
1016	31	90	162	1
1017	31	97	162	1
1018	31	90	151	1
1019	31	90	162	1
1020	31	97	162	1
1021	31	90	162	1
1022	31	105	162	1
1023	31	97	162	1
1024	31	97	162	1
1025	31	97	162	1
1026	31	90	162	1
1027	31	97	162	1
1028	31	90	162	1
1029	31	97	162	1
1030	31	97	151	1
1031	31	90	151	1
1032	31	105	162	1
1033	31	90	151	1
1034	31	97	162	1
1035	37	97	162	1
1036	37	105	174	1
1037	37	105	162	1
1038	37	97	162	1
