ID	B1	B2	B3	val
694	231	218	244	2
695	231	225	255	2
696	231	210	221	2
697	231	210	209	2
698	224	225	221	2
699	212	225	244	2
700	212	248	244	2
701	212	255	255	2
702	206	255	255	2
703	206	255	255	2
704	199	255	255	2
705	199	248	255	2
706	187	248	244	2
707	193	240	244	2
708	187	240	244	2
709	187	240	244	2
710	187	240	244	2
711	193	240	244	2
712	193	233	244	2
713	193	240	232	2
714	187	240	244	2
715	193	240	232	2
716	187	240	244	2
717	187	240	244	2
718	193	240	244	2
719	193	233	244	2
720	187	233	232	2
721	199	233	244	2
722	212	218	244	2
723	224	203	221	2
724	237	180	197	2
725	224	188	197	2
726	218	218	221	2
727	212	240	244	2
728	212	248	255	2
729	206	248	255	2
730	206	248	255	2
731	206	240	255	2
732	212	225	232	2
733	218	188	209	2
734	212	180	197	2
735	218	180	197	2
736	224	173	197	2
737	224	158	186	2
738	224	158	186	2
739	218	165	197	2
740	212	180	186	2
741	206	188	197	2
742	206	195	209	2
743	206	203	209	2
744	224	195	209	2
745	231	195	209	2
746	224	195	209	2
747	212	188	209	2
748	206	210	209	2
749	199	218	221	2
750	206	225	232	2
751	206	225	232	2
752	212	210	221	2
753	218	203	209	2
754	224	203	221	2
755	224	210	221	2
756	224	203	221	2
757	218	203	209	2
758	212	210	197	2
759	199	180	209	2
760	193	188	209	2
761	199	203	221	2
762	199	233	244	2
763	199	248	255	2
764	193	233	255	2
765	187	233	255	2
766	193	225	255	2
767	199	218	244	2
768	199	203	244	2
769	199	180	221	2
770	199	180	221	2
771	193	195	221	2
772	187	210	232	2
773	187	203	232	2
774	187	188	221	2
775	187	180	209	2
776	187	203	221	2
777	193	225	244	2
778	199	233	255	2
779	199	225	244	2
780	206	225	232	2
781	212	233	244	2
782	231	248	255	2
783	243	255	255	2
784	249	255	255	2
785	237	240	255	2
786	224	225	244	2
787	212	218	255	2
788	212	203	232	2
789	199	188	221	2
790	193	188	209	2
791	193	188	221	2
792	212	173	209	2
793	224	180	197	2
794	231	188	209	2
795	231	210	232	2
796	224	225	244	2
797	224	203	232	2
798	224	210	209	2
799	218	218	232	2
800	218	233	244	2
801	218	240	232	2
802	212	255	255	2
803	206	255	255	2
804	199	255	255	2
805	199	255	255	2
806	199	248	255	2
807	187	240	244	2
808	187	240	244	2
809	187	240	244	2
810	187	240	244	2
811	187	240	232	2
812	187	240	244	2
813	187	240	244	2
814	193	240	232	2
815	193	240	244	2
816	187	240	232	2
817	193	240	244	2
818	193	233	244	2
819	193	233	244	2
820	193	233	244	2
821	193	233	232	2
822	206	225	244	2
823	224	203	244	2
824	237	180	221	2
825	237	165	197	2
826	218	195	209	2
827	206	225	221	2
828	206	240	232	2
829	206	240	244	2
830	199	240	255	2
831	199	240	232	2
832	199	240	244	2
833	199	225	232	2
834	199	203	209	2
835	206	195	232	2
836	212	180	209	2
837	218	173	209	2
838	218	165	197	2
839	218	165	186	2
840	218	173	186	2
841	212	180	197	2
842	199	203	209	2
843	199	218	221	2
844	206	225	221	2
845	212	210	232	2
846	231	195	209	2
847	224	188	209	2
848	218	180	209	2
849	212	195	197	2
850	212	210	221	2
851	212	225	232	2
852	206	218	232	2
853	218	188	221	2
854	231	173	209	2
855	231	180	197	2
856	231	180	197	2
857	224	180	197	2
858	218	180	186	2
859	193	188	221	2
860	193	203	221	2
861	193	218	232	2
862	199	240	255	2
863	206	255	255	2
864	199	248	255	2
865	206	248	255	2
866	193	240	255	2
867	193	233	255	2
868	193	218	255	2
869	187	195	255	2
870	187	195	232	2
871	187	210	255	2
872	187	218	255	2
873	187	210	255	2
874	181	203	232	2
875	187	195	221	2
876	181	195	221	2
877	187	210	244	2
878	193	240	255	2
879	193	218	232	2
880	193	225	244	2
881	212	240	255	2
882	231	248	255	2
883	237	255	255	2
884	237	255	255	2
885	237	248	255	2
886	218	225	244	2
887	212	218	244	2
888	212	203	232	2
889	199	195	221	2
890	187	195	221	2
891	193	195	221	2
892	206	173	209	2
893	218	180	197	2
894	231	195	209	2
895	231	210	232	2
896	224	218	244	2
897	218	203	244	2
898	224	210	232	2
899	224	225	255	2
900	218	240	255	2
901	218	240	244	2
902	212	255	255	2
903	206	255	244	2
904	206	255	255	2
905	206	255	255	2
906	199	255	255	2
907	193	240	255	2
908	193	248	244	2
909	193	240	244	2
910	193	233	244	2
911	193	240	232	2
912	193	233	244	2
913	193	240	244	2
914	187	240	244	2
915	187	240	244	2
916	187	240	232	2
917	193	233	244	2
918	199	233	244	2
919	199	225	244	2
920	193	218	232	2
921	199	225	232	2
922	212	225	244	2
923	231	195	221	2
924	237	173	209	2
925	231	180	209	2
926	212	218	221	2
927	193	233	244	2
928	206	240	255	2
929	199	240	255	2
930	199	248	244	2
931	199	240	232	2
932	193	233	232	2
933	199	225	232	2
934	193	225	232	2
935	199	218	244	2
936	206	203	221	2
937	206	195	221	2
938	206	188	221	2
939	206	180	221	2
940	206	188	221	2
941	199	203	221	2
942	193	218	232	2
943	193	233	244	2
944	199	240	255	2
945	206	233	255	2
946	218	203	221	2
947	212	195	221	2
948	218	188	221	2
949	218	188	209	2
950	218	195	209	2
951	224	225	232	2
952	212	210	244	2
953	231	180	221	2
954	237	165	197	2
955	237	173	209	2
956	237	173	197	2
957	231	173	197	2
958	218	173	197	2
959	187	218	232	2
960	187	210	232	2
961	187	218	232	2
962	187	233	244	2
963	199	248	255	2
964	199	255	255	2
965	206	255	255	2
966	212	255	255	2
967	193	255	255	2
968	187	240	255	2
969	187	233	255	2
970	181	225	255	2
